host_id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability
126555379,52.34976,4.85118,100,1,51,12.05,2,88
8407811,52.38669,4.88841,130,1,167,11.49,1,105
21845977,52.36758,4.86502,95,1,155,11.4,2,150
53734444,52.38602,4.91436,85,2,448,11.15,1,71
37658666,52.35698,4.90015,59,1,371,11.1,2,36
257406079,52.36837,4.86653,180,2,11,11,1,183
53412059,52.35154,4.81907,50,1,36,10.91,2,14
33630710,52.35767,4.88801,110,1,516,10.77,1,143
53412059,52.35121,4.82042,85,1,35,10.5,2,29
37658666,52.35492,4.89865,59,1,465,10.42,2,30
13947044,52.36415,4.98641,85,1,118,10.26,1,116
47021452,52.36527,4.90549,120,1,415,10.12,1,200
43562305,52.35243,4.79755,149,2,10,10,1,100
160470419,52.37842,4.84936,60,1,156,9.87,2,18
7867565,52.37842,4.8865,100,1,677,9.83,1,238
9502480,52.36858,4.79378,130,1,657,9.77,1,261
16525382,52.35014,4.89163,90,2,227,9.7,2,0
160470419,52.37805,4.84964,50,1,156,9.69,2,14
22594722,52.37211,4.95165,69,1,520,9.52,2,3
129277658,52.36628,4.85537,65,1,229,9.48,2,300
19281840,52.34831,4.86768,37,1,237,9.47,1,97
186119073,52.35777,4.90276,70,1,115,9.45,2,3
186119073,52.3568,4.90108,70,1,117,9.44,2,6
3825472,52.35954,4.91407,40,1,48,9.41,1,13
60533837,52.37066,4.89968,134,1,238,9.33,1,245
217489461,52.38349,4.8767,100,1,29,9.26,1,125
6192042,52.38584,4.90875,125,1,348,9.26,1,185
16525382,52.3501,4.89341,94,2,288,9.13,2,109
21845977,52.36659,4.8651,90,1,505,9.12,2,179
40924389,52.3829,4.84843,60,2,9,9,1,9
248250318,52.35477,4.99521,100,1,9,9,1,29
534850,52.35357,4.78811,73,1,9,9,3,275
23587375,52.36456,4.85149,74,1,322,8.85,2,263
131943470,52.35348,4.79738,50,1,206,8.83,1,125
61094269,52.36979,4.9134,130,1,324,8.66,2,195
58083795,52.36473,4.88599,114,2,332,8.61,2,10
230148961,52.37358,4.87397,150,1,38,8.51,1,19
20979476,52.38345,4.84867,56,1,222,8.46,2,19
36029200,52.36835,4.8614,50,1,255,8.39,2,0
129277658,52.36429,4.85536,80,1,189,8.38,2,274
156070312,52.35859,4.86144,89,2,142,8.37,1,267
2586026,52.36842,4.89901,200,2,651,8.37,1,164
229726032,52.34179,4.9539,25,1,20,8.33,1,0
244784297,52.40455,4.90819,80,1,18,8.31,1,6
36769772,52.37542,4.89142,130,2,58,8.25,1,63
176739356,52.37062,4.91262,150,1,116,8.23,1,19
248172681,52.35383,4.81067,55,1,12,8.18,1,37
15828426,52.36463,4.8831,99,1,491,8.18,3,52
24189354,52.34774,4.91069,70,1,180,8.1,3,5
58083795,52.36281,4.88501,146,2,297,8.09,2,0
241723501,52.34967,4.87112,119,2,21,8.08,1,291
241833264,52.37567,4.89343,89,1,20,8,1,0
97728563,52.34955,4.89027,100,1,40,8,1,26
19842964,52.36269,4.88201,145,1,109,8,2,310
89142786,52.37187,4.87722,135,1,192,8,1,209
75329145,52.34255,4.90732,85,1,125,7.96,2,62
197286521,52.37437,4.84972,100,1,83,7.93,6,215
31817443,52.38745,4.88308,60,1,272,7.92,2,145
17584726,52.36952,4.93244,110,2,34,7.91,1,47
9255551,52.35055,4.89261,65,2,266,7.9,2,52
5780127,52.35499,4.92491,65,2,387,7.89,2,79
8956501,52.38392,4.87572,84,1,333,7.88,1,203
